run.order,std.order,lysate_aspirate_rate,lysate_dispense_rate,substrates_aspirate_rate,substrates_dispense_rate,Well,Plate
1,10,1.26,0.4,0.95,0.95,B2,1
2,9,0.24,0.4,0.95,0.95,B4,1
3,78,1.0,0.6,1.2,1.2,B6,1
4,13,0.5,0.6,0.7,0.7,B8,1
5,52,0.5,0.6,0.7,1.2,B10,1
6,82,0.75,0.4,0.95,0.95,B12,1
7,22,0.75,0.4,1.46,0.95,B14,1
8,79,1.0,0.6,1.2,1.2,B16,1
9,35,0.75,0.2,0.95,0.95,B18,1
10,36,1.0,0.6,1.2,0.7,B20,1
11,12,0.5,0.6,0.7,0.7,B22,1
12,18,1.26,0.4,0.95,0.95,D2,1
13,74,0.5,0.6,1.2,1.2,D4,1
14,1,0.5,0.2,0.7,0.7,D6,1
15,50,1.0,0.2,0.7,1.2,D8,1
16,63,0.5,0.2,1.2,1.2,D10,1
17,81,0.75,0.4,0.95,0.95,D12,1
18,44,0.5,0.2,0.7,1.2,D14,1
19,32,0.75,0.4,0.95,1.46,D16,1
20,38,1.0,0.6,1.2,0.7,D18,1
21,47,1.0,0.2,0.7,1.2,D20,1
22,6,0.75,0.4,1.46,0.95,D22,1
23,27,0.75,0.2,0.95,0.95,F2,1
24,48,1.0,0.2,0.7,1.2,F4,1
25,41,0.5,0.2,0.7,1.2,F6,1
26,23,0.75,0.4,0.95,0.44,F8,1
27,30,0.75,0.4,1.46,0.95,F10,1
28,5,0.75,0.4,0.44,0.95,F12,1
29,29,1.0,0.2,1.2,0.7,F14,1
30,76,1.0,0.6,1.2,1.2,F16,1
31,40,0.75,0.4,0.95,1.46,F18,1
32,70,1.0,0.2,1.2,1.2,F20,1
33,67,1.0,0.2,1.2,1.2,F22,1
34,11,0.5,0.6,0.7,0.7,H2,1
35,33,0.5,0.6,1.2,0.7,H4,1
36,28,1.0,0.2,1.2,0.7,H6,1
37,75,0.5,0.6,1.2,1.2,H8,1
38,17,1.0,0.6,0.7,0.7,H10,1
39,45,0.5,0.2,0.7,1.2,H12,1
40,19,0.75,0.2,0.95,0.95,H14,1
41,62,0.5,0.2,1.2,1.2,H16,1
42,24,0.75,0.4,0.95,1.46,H18,1
43,37,1.0,0.6,1.2,0.7,H20,1
44,8,0.75,0.4,0.95,1.46,H22,1
45,41,0.75,0.4,0.95,0.95,J2,1
46,53,0.5,0.6,0.7,1.2,J4,1
