,Time,Well,RFUs,RFUs_Baseline_Subtracted,Well_Type,DNA_Template,Lysate_Inventory_Record,Energy_Solution,Lysate_Owner,Plate_Reader_Protocol,Plate_Reader,Reaction_Temp_C,Gain,Date,GFP_uM,Calibration_Model
0,0.0,B8,48,10,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.0,GFP_uM_Polynomial_Sarah_Oct_22
1,1.9999999999999998,B8,67,33,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.024790861786359267,GFP_uM_Polynomial_Sarah_Oct_22
2,4.0,B8,80,49,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.04180690304756442,GFP_uM_Polynomial_Sarah_Oct_22
3,6.0,B8,102,73,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.06698100954123089,GFP_uM_Polynomial_Sarah_Oct_22
4,8.0,B8,155,115,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.11003852515215036,GFP_uM_Polynomial_Sarah_Oct_22
5,10.0,B8,204,173,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.1674546338888664,GFP_uM_Polynomial_Sarah_Oct_22
6,12.0,B8,275,240,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.23091027639982925,GFP_uM_Polynomial_Sarah_Oct_22
7,14.0,B8,378,343,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.32269537713515717,GFP_uM_Polynomial_Sarah_Oct_22
8,16.0,B8,489,453,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.4133873069976233,GFP_uM_Polynomial_Sarah_Oct_22
9,18.0,B8,608,575,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.505672749816175,GFP_uM_Polynomial_Sarah_Oct_22
10,20.0,B8,782,752,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.6253115534521706,GFP_uM_Polynomial_Sarah_Oct_22
11,22.0,B8,904,874,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.6988522210428357,GFP_uM_Polynomial_Sarah_Oct_22
12,24.0,B8,1096,1059,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.7980886904646374,GFP_uM_Polynomial_Sarah_Oct_22
13,26.0,B8,1253,1220,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.8739349349343303,GFP_uM_Polynomial_Sarah_Oct_22
14,28.0,B8,1435,1400,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,0.9490372492301445,GFP_uM_Polynomial_Sarah_Oct_22
15,30.0,B8,1588,1561,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.0091563941981412,GFP_uM_Polynomial_Sarah_Oct_22
16,31.999999999999996,B8,1806,1768,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.0791097638017555,GFP_uM_Polynomial_Sarah_Oct_22
17,34.0,B8,1959,1930,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.1299511673802956,GFP_uM_Polynomial_Sarah_Oct_22
18,36.0,B8,2117,2084,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.1765951956466996,GFP_uM_Polynomial_Sarah_Oct_22
19,38.0,B8,2272,2246,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.2253224964192864,GFP_uM_Polynomial_Sarah_Oct_22
20,40.0,B8,2416,2383,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.2673460945923798,GFP_uM_Polynomial_Sarah_Oct_22
21,42.0,B8,2555,2521,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.311404589388592,GFP_uM_Polynomial_Sarah_Oct_22
22,44.0,B8,2685,2654,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.3563701737089568,GFP_uM_Polynomial_Sarah_Oct_22
23,46.0,B8,2831,2800,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.409555912470491,GFP_uM_Polynomial_Sarah_Oct_22
24,48.0,B8,2904,2870,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.4367850807212605,GFP_uM_Polynomial_Sarah_Oct_22
25,50.0,B8,3063,3033,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.505377341648517,GFP_uM_Polynomial_Sarah_Oct_22
26,52.0,B8,3175,3145,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.557337843452787,GFP_uM_Polynomial_Sarah_Oct_22
27,54.0,B8,3306,3268,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.6196085057902783,GFP_uM_Polynomial_Sarah_Oct_22
28,56.0,B8,3396,3361,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.6706960847155987,GFP_uM_Polynomial_Sarah_Oct_22
29,58.0,B8,3465,3441,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.7176417887956215,GFP_uM_Polynomial_Sarah_Oct_22
30,60.0,B8,3568,3538,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.7785560732145298,GFP_uM_Polynomial_Sarah_Oct_22
31,62.0,B8,3655,3622,Experiment,T7_GFP,Lysate_007,ES_ET_NTP,MS,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-05-04,1.8350748829262076,GFP_uM_Polynomial_Sarah_Oct_22
