"","run.order","std.order","x1","x2","x3","x4"
"1",1,8,0,0,0,1
"2",2,18,0,0,0,0
"3",3,10,0,0,0,0
"4",4,4,1,1,-1,-1
"5",5,1,-1,-1,-1,-1
"6",6,3,-1,1,-1,-1
"7",7,4,0,1,0,0
"8",8,10,1,-1,-1,1
"9",9,7,0,0,0,-1
"10",10,6,0,0,1,0
"11",11,16,1,1,1,1
"12",12,11,-1,1,-1,1
"13",13,17,0,0,0,0
"14",14,15,-1,1,1,1
"15",15,5,-1,-1,1,-1
"16",16,7,-1,1,1,-1
"17",17,14,1,-1,1,1
"18",18,13,-1,-1,1,1
"19",19,6,1,-1,1,-1
"20",20,5,0,0,-1,0
"21",21,3,0,-1,0,0
"22",22,9,-1,-1,-1,1
"23",23,8,1,1,1,-1
"24",24,9,0,0,0,0
"25",25,1,-1,0,0,0
"26",26,2,1,0,0,0
"27",27,12,1,1,-1,1
"28",28,2,1,-1,-1,-1
