Original_Order,MG_Glut,K_Glut,DTT,Well,Plate,AqueousMasterMixTube,ComponentsMasterMixTube
37,8.0,136.25,1.0,H10,1,A11,B4
26,4.0,130.0,0.5,F10,1,A8,B3
39,8.0,105.0,0.37,H14,1,A12,B4
23,4.0,130.0,1.5,F4,1,A7,B2
13,8.0,105.0,1.0,D6,1,A5,B2
44,8.0,105.0,1.62,J2,1,C1,B4
53,8.0,105.0,1.0,J20,1,A5,B5
11,12.0,80.0,0.5,D2,1,A4,B1
49,13.0,105.0,1.0,J12,1,C3,B5
48,13.0,105.0,1.0,J10,1,C3,B5
0,12.0,130.0,0.5,B2,1,A1,B1
5,8.0,73.75,1.0,B12,1,A2,B1
10,12.0,80.0,0.5,B22,1,A4,B1
21,4.0,130.0,1.5,D22,1,A7,B2
8,12.0,80.0,1.5,B18,1,A3,B1
12,8.0,105.0,1.0,D4,1,A5,B2
18,3.0,105.0,1.0,D16,1,A6,B2
51,8.0,105.0,1.0,J16,1,A5,B5
1,12.0,130.0,0.5,B4,1,A1,B1
6,12.0,80.0,1.5,B14,1,A3,B1
27,4.0,80.0,0.5,F12,1,A9,B3
35,8.0,105.0,1.0,H6,1,A5,B3
46,4.0,80.0,1.5,J6,1,C2,B4
29,4.0,80.0,0.5,F16,1,A9,B3
50,13.0,105.0,1.0,J14,1,C3,B5
24,4.0,130.0,0.5,F6,1,A8,B3
15,8.0,105.0,1.0,D10,1,A5,B2
30,12.0,130.0,1.5,F18,1,A10,B3
31,12.0,130.0,1.5,F20,1,A10,B3
7,12.0,80.0,1.5,B16,1,A3,B1
20,3.0,105.0,1.0,D20,1,A6,B2
52,8.0,105.0,1.0,J18,1,A5,B5
3,8.0,73.75,1.0,B8,1,A2,B1
4,8.0,73.75,1.0,B10,1,A2,B1
16,8.0,105.0,1.0,D12,1,A5,B2
40,8.0,105.0,0.37,H16,1,A12,B4
36,8.0,136.25,1.0,H8,1,A11,B4
14,8.0,105.0,1.0,D8,1,A5,B2
47,4.0,80.0,1.5,J8,1,C2,B4
25,4.0,130.0,0.5,F8,1,A8,B3
41,8.0,105.0,0.37,H18,1,A12,B4
43,8.0,105.0,1.62,H22,1,C1,B4
9,12.0,80.0,0.5,B20,1,A4,B1
32,12.0,130.0,1.5,F22,1,A10,B3
33,8.0,105.0,1.0,H2,1,A5,B3
22,4.0,130.0,1.5,F2,1,A7,B2
42,8.0,105.0,1.62,H20,1,C1,B4
19,3.0,105.0,1.0,D18,1,A6,B2
17,8.0,105.0,1.0,D14,1,A5,B2
38,8.0,136.25,1.0,H12,1,A11,B4
34,8.0,105.0,1.0,H4,1,A5,B3
28,4.0,80.0,0.5,F14,1,A9,B3
2,12.0,130.0,0.5,B6,1,A1,B1
45,4.0,80.0,1.5,J4,1,C2,B4
