"","run.order","std.order","MG_Glut","K_Glut","DTT","PEG-8000"
"1",1,8,8,105,0.95,5
"2",2,18,8,105,0.95,3
"3",3,10,8,105,0.95,3
"4",4,4,12,130,0.7,1
"5",5,1,4,80,0.7,1
"6",6,3,4,130,0.7,1
"7",7,4,8,130,0.95,3
"8",8,10,12,80,0.7,5
"9",9,7,8,105,0.95,1
"10",10,6,8,105,1.2,3
"11",11,16,12,130,1.2,5
"12",12,11,4,130,0.7,5
"13",13,17,8,105,0.95,3
"14",14,15,4,130,1.2,5
"15",15,5,4,80,1.2,1
"16",16,7,4,130,1.2,1
"17",17,14,12,80,1.2,5
"18",18,13,4,80,1.2,5
"19",19,6,12,80,1.2,1
"20",20,5,8,105,0.7,3
"21",21,3,8,80,0.95,3
"22",22,9,4,80,0.7,5
"23",23,8,12,130,1.2,1
"24",24,9,8,105,0.95,3
"25",25,1,4,105,0.95,3
"26",26,2,12,105,0.95,3
"27",27,12,12,130,0.7,5
"28",28,2,12,80,0.7,1
