,MG_Glut,K_Glut,DTT,Well,Plate
0,12.0,130.0,0.5,B2,1
1,12.0,130.0,0.5,B4,1
2,12.0,130.0,0.5,B6,1
3,8.0,73.75,1.0,B8,1
4,8.0,73.75,1.0,B10,1
5,8.0,73.75,1.0,B12,1
6,12.0,80.0,1.5,B14,1
7,12.0,80.0,1.5,B16,1
8,12.0,80.0,1.5,B18,1
9,12.0,80.0,0.5,B20,1
10,12.0,80.0,0.5,B22,1
11,12.0,80.0,0.5,D2,1
12,8.0,105.0,1.0,D4,1
13,8.0,105.0,1.0,D6,1
14,8.0,105.0,1.0,D8,1
15,8.0,105.0,1.0,D10,1
16,8.0,105.0,1.0,D12,1
17,8.0,105.0,1.0,D14,1
18,3.0,105.0,1.0,D16,1
19,3.0,105.0,1.0,D18,1
20,3.0,105.0,1.0,D20,1
21,4.0,130.0,1.5,D22,1
22,4.0,130.0,1.5,F2,1
23,4.0,130.0,1.5,F4,1
24,4.0,130.0,0.5,F6,1
25,4.0,130.0,0.5,F8,1
26,4.0,130.0,0.5,F10,1
27,4.0,80.0,0.5,F12,1
28,4.0,80.0,0.5,F14,1
29,4.0,80.0,0.5,F16,1
30,12.0,130.0,1.5,F18,1
31,12.0,130.0,1.5,F20,1
32,12.0,130.0,1.5,F22,1
33,8.0,105.0,1.0,H2,1
34,8.0,105.0,1.0,H4,1
35,8.0,105.0,1.0,H6,1
36,8.0,136.25,1.0,H8,1
37,8.0,136.25,1.0,H10,1
38,8.0,136.25,1.0,H12,1
39,8.0,105.0,0.37,H14,1
40,8.0,105.0,0.37,H16,1
41,8.0,105.0,0.37,H18,1
42,8.0,105.0,1.62,H20,1
43,8.0,105.0,1.62,H22,1
44,8.0,105.0,1.62,J2,1
45,4.0,80.0,1.5,J4,1
46,4.0,80.0,1.5,J6,1
47,4.0,80.0,1.5,J8,1
48,13.0,105.0,1.0,J10,1
49,13.0,105.0,1.0,J12,1
50,13.0,105.0,1.0,J14,1
51,8.0,105.0,1.0,J16,1
52,8.0,105.0,1.0,J18,1
53,8.0,105.0,1.0,J20,1
