"","run.order","std.order","x1","x2","x3","x4"
"1",1,1,-1,-1,-1,-1
"2",2,2,1,-1,-1,-1
"3",3,3,-1,1,-1,-1
"4",4,4,1,1,-1,-1
"5",5,5,-1,-1,1,-1
"6",6,6,1,-1,1,-1
"7",7,7,-1,1,1,-1
"8",8,8,1,1,1,-1
"9",9,9,-1,-1,-1,1
"10",10,10,1,-1,-1,1
"11",11,11,-1,1,-1,1
"12",12,12,1,1,-1,1
"13",13,13,-1,-1,1,1
"14",14,14,1,-1,1,1
"15",15,15,-1,1,1,1
"16",16,16,1,1,1,1
"17",17,17,0,0,0,0
"18",18,18,0,0,0,0
"19",1,1,-1,0,0,0
"20",2,2,1,0,0,0
"21",3,3,0,-1,0,0
"22",4,4,0,1,0,0
"23",5,5,0,0,-1,0
"24",6,6,0,0,1,0
"25",7,7,0,0,0,-1
"26",8,8,0,0,0,1
"27",9,9,0,0,0,0
"28",10,10,0,0,0,0
