MG_Glut,K_Glut,DTT,Well,Plate,AqueousMasterMixTube,ComponentsMasterMixTube
4.0,80.0,0.5,B2,1,A1,B1
4.0,80.0,0.5,B4,1,A1,B1
4.0,80.0,0.5,B6,1,A1,B1
12.0,80.0,0.5,B8,1,A2,B1
12.0,80.0,0.5,B10,1,A2,B1
12.0,80.0,0.5,B12,1,A2,B1
4.0,130.0,0.5,B14,1,A3,B1
4.0,130.0,0.5,B16,1,A3,B1
4.0,130.0,0.5,B18,1,A3,B1
12.0,130.0,0.5,B20,1,A4,B1
12.0,130.0,0.5,B22,1,A4,B1
12.0,130.0,0.5,D2,1,A4,B1
4.0,80.0,1.5,D4,1,A5,B2
4.0,80.0,1.5,D6,1,A5,B2
4.0,80.0,1.5,D8,1,A5,B2
12.0,80.0,1.5,D10,1,A6,B2
12.0,80.0,1.5,D12,1,A6,B2
12.0,80.0,1.5,D14,1,A6,B2
4.0,130.0,1.5,D16,1,A7,B2
4.0,130.0,1.5,D18,1,A7,B2
4.0,130.0,1.5,D20,1,A7,B2
12.0,130.0,1.5,D22,1,A8,B2
12.0,130.0,1.5,F2,1,A8,B2
12.0,130.0,1.5,F4,1,A8,B2
8.0,105.0,1.0,F6,1,A9,B3
8.0,105.0,1.0,F8,1,A9,B3
8.0,105.0,1.0,F10,1,A9,B3
8.0,105.0,1.0,F12,1,A9,B3
8.0,105.0,1.0,F14,1,A9,B3
8.0,105.0,1.0,F16,1,A9,B3
3.0,105.0,1.0,F18,1,A10,B3
3.0,105.0,1.0,F20,1,A10,B3
3.0,105.0,1.0,F22,1,A10,B3
13.0,105.0,1.0,H2,1,A11,B3
13.0,105.0,1.0,H4,1,A11,B3
13.0,105.0,1.0,H6,1,A11,B3
8.0,73.75,1.0,H8,1,A12,B4
8.0,73.75,1.0,H10,1,A12,B4
8.0,73.75,1.0,H12,1,A12,B4
8.0,136.25,1.0,H14,1,C1,B4
8.0,136.25,1.0,H16,1,C1,B4
8.0,136.25,1.0,H18,1,C1,B4
8.0,105.0,0.37,H20,1,C2,B4
8.0,105.0,0.37,H22,1,C2,B4
8.0,105.0,0.37,J2,1,C2,B4
8.0,105.0,1.62,J4,1,C3,B4
8.0,105.0,1.62,J6,1,C3,B4
8.0,105.0,1.62,J8,1,C3,B4
8.0,105.0,1.0,J10,1,A9,B5
8.0,105.0,1.0,J12,1,A9,B5
8.0,105.0,1.0,J14,1,A9,B5
8.0,105.0,1.0,J16,1,A9,B5
8.0,105.0,1.0,J18,1,A9,B5
8.0,105.0,1.0,J20,1,A9,B5
