"","run.order","std.order","x1","x2","x3","x4"
"1",1,10,2.0242433093899,0,0,0
"2",2,9,-2.0242433093899,0,0,0
"3",3,78,1,1,1,1
"4",4,13,-1,1,-1,-1
"5",5,52,-1,1,-1,1
"6",6,82,0,0,0,0
"7",7,22,0,0,2.0242433093899,0
"8",8,79,1,1,1,1
"9",9,35,0,-2.0242433093899,0,0
"10",10,36,1,1,1,-1
"11",11,12,-1,1,-1,-1
"12",12,18,2.0242433093899,0,0,0
"13",13,74,-1,1,1,1
"14",14,1,-1,-1,-1,-1
"15",15,50,1,-1,-1,1
"16",16,63,-1,-1,1,1
"17",17,81,0,0,0,0
"18",18,44,-1,-1,-1,1
"19",19,32,0,0,0,2.0242433093899
"20",20,38,1,1,1,-1
"21",21,47,1,-1,-1,1
"22",22,6,0,0,2.0242433093899,0
"23",23,27,0,-2.0242433093899,0,0
"24",24,48,1,-1,-1,1
"25",25,41,-1,-1,-1,1
"26",26,23,0,0,0,-2.0242433093899
"27",27,30,0,0,2.0242433093899,0
"28",28,5,0,0,-2.0242433093899,0
"29",29,29,1,-1,1,-1
"30",30,76,1,1,1,1
"31",31,40,0,0,0,2.0242433093899
"32",32,70,1,-1,1,1
"33",33,67,1,-1,1,1
"34",34,11,-1,1,-1,-1
"35",35,33,-1,1,1,-1
"36",36,28,1,-1,1,-1
"37",37,75,-1,1,1,1
"38",38,17,1,1,-1,-1
"39",39,45,-1,-1,-1,1
"40",40,19,0,-2.0242433093899,0,0
"41",41,62,-1,-1,1,1
"42",42,24,0,0,0,2.0242433093899
"43",43,37,1,1,1,-1
"44",44,8,0,0,0,2.0242433093899
"45",45,41,0,0,0,0
"46",46,53,-1,1,-1,1
"47",47,54,-1,1,-1,1
"48",48,39,1,1,1,-1
"49",49,20,1,1,-1,-1
"50",50,73,-1,1,1,1
"51",51,30,1,-1,1,-1
"52",52,36,0,2.0242433093899,0,0
"53",53,39,0,0,0,-2.0242433093899
"54",54,33,-2.0242433093899,0,0,0
"55",55,34,-1,1,1,-1
"56",56,42,-1,-1,-1,1
"57",57,29,0,0,-2.0242433093899,0
"58",58,37,0,0,-2.0242433093899,0
"59",59,2,2.0242433093899,0,0,0
"60",60,23,-1,-1,1,-1
"61",61,65,-1,-1,1,1
"62",62,18,1,1,-1,-1
"63",63,68,1,-1,1,1
"64",64,26,1,-1,1,-1
"65",65,40,1,1,1,-1
"66",66,38,0,0,2.0242433093899,0
"67",67,32,-1,1,1,-1
"68",68,77,1,1,1,1
"69",69,14,0,0,2.0242433093899,0
"70",70,15,0,0,0,-2.0242433093899
"71",71,7,1,-1,-1,-1
"72",72,15,-1,1,-1,-1
"73",73,12,0,2.0242433093899,0,0
"74",74,21,0,0,-2.0242433093899,0
"75",75,56,1,1,-1,1
"76",76,57,1,1,-1,1
"77",77,46,1,-1,-1,1
"78",78,60,1,1,-1,1
"79",79,22,-1,-1,1,-1
"80",80,26,2.0242433093899,0,0,0
"81",81,71,-1,1,1,1
"82",82,17,-2.0242433093899,0,0,0
"83",83,42,0,0,0,0
"84",84,16,0,0,0,2.0242433093899
"85",85,49,1,-1,-1,1
"86",86,34,2.0242433093899,0,0,0
"87",87,24,-1,-1,1,-1
"88",88,35,-1,1,1,-1
"89",89,28,0,2.0242433093899,0,0
"90",90,6,1,-1,-1,-1
"91",91,25,-2.0242433093899,0,0,0
"92",92,7,0,0,0,-2.0242433093899
"93",93,4,-1,-1,-1,-1
"94",94,43,-1,-1,-1,1
"95",95,69,1,-1,1,1
"96",96,31,-1,1,1,-1
"97",97,5,-1,-1,-1,-1
"98",98,13,0,0,-2.0242433093899,0
"99",99,8,1,-1,-1,-1
"100",100,31,0,0,0,-2.0242433093899
"101",101,58,1,1,-1,1
"102",102,3,-1,-1,-1,-1
"103",103,11,0,-2.0242433093899,0,0
"104",104,21,-1,-1,1,-1
"105",105,55,-1,1,-1,1
"106",106,20,0,2.0242433093899,0,0
"107",107,14,-1,1,-1,-1
"108",108,61,-1,-1,1,1
"109",109,4,0,2.0242433093899,0,0
"110",110,2,-1,-1,-1,-1
"111",111,25,-1,-1,1,-1
"112",112,27,1,-1,1,-1
"113",113,9,1,-1,-1,-1
"114",114,10,1,-1,-1,-1
"115",115,1,-2.0242433093899,0,0,0
"116",116,72,-1,1,1,1
"117",117,3,0,-2.0242433093899,0,0
"118",118,19,1,1,-1,-1
"119",119,59,1,1,-1,1
"120",120,66,1,-1,1,1
"121",121,16,1,1,-1,-1
"122",122,51,-1,1,-1,1
"123",123,80,1,1,1,1
"124",124,64,-1,-1,1,1
