"","run.order","std.order","lysate_aspirate_rate","lysate_dispense_rate","substrates_aspirate_rate","substrates_dispense_rate"
"1",1,12,0.3,0.7,0.95,0.95
"2",2,30,0.5,0.1,1.2,0.7
"3",3,61,0.1,0.1,1.2,1.2
"4",4,82,0.3,0.3,0.95,0.95
"5",5,16,0.3,0.3,0.95,1.46
"6",6,9,0.5,0.1,0.7,0.7
"7",7,63,0.1,0.1,1.2,1.2
"8",8,18,0.7,0.3,0.95,0.95
"9",9,21,0.3,0.3,0.44,0.95
"10",10,32,0.3,0.3,0.95,1.46
"11",11,15,0.1,0.5,0.7,0.7
"12",12,12,0.1,0.5,0.7,0.7
"13",13,17,0.5,0.5,0.7,0.7
"14",14,32,0.1,0.5,1.2,0.7
"15",15,13,0.3,0.3,0.44,0.95
"16",16,25,0.1,0.1,1.2,0.7
"17",17,65,0.1,0.1,1.2,1.2
"18",18,21,0.1,0.1,1.2,0.7
"19",19,41,0.1,0.1,0.7,1.2
"20",20,4,0.3,0.7,0.95,0.95
"21",21,52,0.1,0.5,0.7,1.2
"22",22,51,0.1,0.5,0.7,1.2
"23",23,43,0.1,0.1,0.7,1.2
"24",24,75,0.1,0.5,1.2,1.2
"25",25,2,0.7,0.3,0.95,0.95
"26",26,60,0.5,0.5,0.7,1.2
"27",27,13,0.1,0.5,0.7,0.7
"28",28,1,0.1,0.1,0.7,0.7
"29",29,64,0.1,0.1,1.2,1.2
"30",30,11,0.1,0.5,0.7,0.7
"31",31,7,0.5,0.1,0.7,0.7
"32",32,78,0.5,0.5,1.2,1.2
"33",33,34,0.7,0.3,0.95,0.95
"34",34,81,0.3,0.3,0.95,0.95
"35",35,24,0.1,0.1,1.2,0.7
"36",36,79,0.5,0.5,1.2,1.2
"37",37,1,0.1,0.3,0.95,0.95
"38",38,69,0.5,0.1,1.2,1.2
"39",39,8,0.3,0.3,0.95,1.46
"40",40,40,0.3,0.3,0.95,1.46
"41",41,23,0.3,0.3,0.95,0.44
"42",42,26,0.7,0.3,0.95,0.95
"43",43,3,0.1,0.1,0.7,0.7
"44",44,58,0.5,0.5,0.7,1.2
"45",45,20,0.5,0.5,0.7,0.7
"46",46,80,0.5,0.5,1.2,1.2
"47",47,6,0.3,0.3,1.46,0.95
"48",48,29,0.5,0.1,1.2,0.7
"49",49,67,0.5,0.1,1.2,1.2
"50",50,28,0.5,0.1,1.2,0.7
"51",51,10,0.5,0.1,0.7,0.7
"52",52,35,0.3,0.1,0.95,0.95
"53",53,46,0.5,0.1,0.7,1.2
"54",54,50,0.5,0.1,0.7,1.2
"55",55,6,0.5,0.1,0.7,0.7
"56",56,5,0.1,0.1,0.7,0.7
"57",57,22,0.3,0.3,1.46,0.95
"58",58,15,0.3,0.3,0.95,0.44
"59",59,66,0.5,0.1,1.2,1.2
"60",60,31,0.1,0.5,1.2,0.7
"61",61,33,0.1,0.3,0.95,0.95
"62",62,26,0.5,0.1,1.2,0.7
"63",63,35,0.1,0.5,1.2,0.7
"64",64,4,0.1,0.1,0.7,0.7
"65",65,42,0.3,0.3,0.95,0.95
"66",66,25,0.1,0.3,0.95,0.95
"67",67,36,0.5,0.5,1.2,0.7
"68",68,27,0.3,0.1,0.95,0.95
"69",69,16,0.5,0.5,0.7,0.7
"70",70,30,0.3,0.3,1.46,0.95
"71",71,38,0.5,0.5,1.2,0.7
"72",72,19,0.5,0.5,0.7,0.7
"73",73,41,0.3,0.3,0.95,0.95
"74",74,62,0.1,0.1,1.2,1.2
"75",75,56,0.5,0.5,0.7,1.2
"76",76,48,0.5,0.1,0.7,1.2
"77",77,68,0.5,0.1,1.2,1.2
"78",78,3,0.3,0.1,0.95,0.95
"79",79,76,0.5,0.5,1.2,1.2
"80",80,39,0.3,0.3,0.95,0.44
"81",81,70,0.5,0.1,1.2,1.2
"82",82,45,0.1,0.1,0.7,1.2
"83",83,77,0.5,0.5,1.2,1.2
"84",84,31,0.3,0.3,0.95,0.44
"85",85,19,0.3,0.1,0.95,0.95
"86",86,34,0.1,0.5,1.2,0.7
"87",87,8,0.5,0.1,0.7,0.7
"88",88,5,0.3,0.3,0.44,0.95
"89",89,18,0.5,0.5,0.7,0.7
"90",90,54,0.1,0.5,0.7,1.2
