run.order,std.order,lysate_aspirate_rate,lysate_dispense_rate,substrates_aspirate_rate,substrates_dispense_rate,Well,Plate
1,1,0.1,0.1,0.7,0.7,A1,1
2,2,0.1,0.1,0.7,0.7,A2,1
3,3,0.1,0.1,0.7,0.7,A3,1
4,4,0.1,0.1,0.7,0.7,A4,1
5,5,0.1,0.1,0.7,0.7,A5,1
6,6,0.5,0.1,0.7,0.7,A6,1
7,7,0.5,0.1,0.7,0.7,A7,1
8,8,0.5,0.1,0.7,0.7,A8,1
9,9,0.5,0.1,0.7,0.7,A9,1
10,10,0.5,0.1,0.7,0.7,A10,1
11,11,0.1,0.5,0.7,0.7,A11,1
12,12,0.1,0.5,0.7,0.7,A12,1
13,13,0.1,0.5,0.7,0.7,A13,1
14,14,0.1,0.5,0.7,0.7,A14,1
15,15,0.1,0.5,0.7,0.7,A15,1
16,16,0.5,0.5,0.7,0.7,A16,1
17,17,0.5,0.5,0.7,0.7,A17,1
18,18,0.5,0.5,0.7,0.7,A18,1
19,19,0.5,0.5,0.7,0.7,A19,1
20,20,0.5,0.5,0.7,0.7,A20,1
21,21,0.1,0.1,1.2,0.7,A21,1
22,22,0.1,0.1,1.2,0.7,A22,1
23,23,0.1,0.1,1.2,0.7,A23,1
24,24,0.1,0.1,1.2,0.7,A24,1
25,25,0.1,0.1,1.2,0.7,B1,1
26,26,0.5,0.1,1.2,0.7,B2,1
27,27,0.5,0.1,1.2,0.7,B3,1
28,28,0.5,0.1,1.2,0.7,B4,1
29,29,0.5,0.1,1.2,0.7,B5,1
30,30,0.5,0.1,1.2,0.7,B6,1
31,31,0.1,0.5,1.2,0.7,B7,1
32,32,0.1,0.5,1.2,0.7,B8,1
33,33,0.1,0.5,1.2,0.7,B9,1
34,34,0.1,0.5,1.2,0.7,B10,1
35,35,0.1,0.5,1.2,0.7,B11,1
36,36,0.5,0.5,1.2,0.7,B12,1
37,37,0.5,0.5,1.2,0.7,B13,1
38,38,0.5,0.5,1.2,0.7,B14,1
39,39,0.5,0.5,1.2,0.7,B15,1
40,40,0.5,0.5,1.2,0.7,B16,1
41,41,0.1,0.1,0.7,1.2,B17,1
42,42,0.1,0.1,0.7,1.2,B18,1
43,43,0.1,0.1,0.7,1.2,B19,1
44,44,0.1,0.1,0.7,1.2,B20,1
45,45,0.1,0.1,0.7,1.2,B21,1
46,46,0.5,0.1,0.7,1.2,B22,1
47,47,0.5,0.1,0.7,1.2,B23,1
48,48,0.5,0.1,0.7,1.2,B24,1
49,49,0.5,0.1,0.7,1.2,C1,1
50,50,0.5,0.1,0.7,1.2,C2,1
51,51,0.1,0.5,0.7,1.2,C3,1
52,52,0.1,0.5,0.7,1.2,C4,1
53,53,0.1,0.5,0.7,1.2,C5,1
54,54,0.1,0.5,0.7,1.2,C6,1
55,55,0.1,0.5,0.7,1.2,C7,1
56,56,0.5,0.5,0.7,1.2,C8,1
57,57,0.5,0.5,0.7,1.2,C9,1
58,58,0.5,0.5,0.7,1.2,C10,1
59,59,0.5,0.5,0.7,1.2,C11,1
60,60,0.5,0.5,0.7,1.2,C12,1
61,61,0.1,0.1,1.2,1.2,C13,1
62,62,0.1,0.1,1.2,1.2,C14,1
63,63,0.1,0.1,1.2,1.2,C15,1
64,64,0.1,0.1,1.2,1.2,C16,1
65,65,0.1,0.1,1.2,1.2,C17,1
66,66,0.5,0.1,1.2,1.2,C18,1
67,67,0.5,0.1,1.2,1.2,C19,1
68,68,0.5,0.1,1.2,1.2,C20,1
69,69,0.5,0.1,1.2,1.2,C21,1
70,70,0.5,0.1,1.2,1.2,C22,1
71,71,0.1,0.5,1.2,1.2,C23,1
72,72,0.1,0.5,1.2,1.2,C24,1
73,73,0.1,0.5,1.2,1.2,D1,1
74,74,0.1,0.5,1.2,1.2,D2,1
75,75,0.1,0.5,1.2,1.2,D3,1
76,76,0.5,0.5,1.2,1.2,D4,1
77,77,0.5,0.5,1.2,1.2,D5,1
78,78,0.5,0.5,1.2,1.2,D6,1
79,79,0.5,0.5,1.2,1.2,D7,1
80,80,0.5,0.5,1.2,1.2,D8,1
81,81,0.3,0.3,0.95,0.95,D9,1
82,82,0.3,0.3,0.95,0.95,D10,1
83,83,0.3,0.3,0.95,0.95,D11,1
84,84,0.3,0.3,0.95,0.95,D12,1
1,1,0.1,0.3,0.95,0.95,D13,1
2,2,0.71,0.3,0.95,0.95,D14,1
3,3,0.3,0.1,0.95,0.95,D15,1
4,4,0.3,0.71,0.95,0.95,D16,1
5,5,0.3,0.3,0.44,0.95,D17,1
6,6,0.3,0.3,1.46,0.95,D18,1
7,7,0.3,0.3,0.95,0.44,D19,1
8,8,0.3,0.3,0.95,1.46,D20,1
9,9,0.1,0.3,0.95,0.95,D21,1
10,10,0.71,0.3,0.95,0.95,D22,1
11,11,0.3,0.1,0.95,0.95,D23,1
12,12,0.3,0.71,0.95,0.95,D24,1
13,13,0.3,0.3,0.44,0.95,E1,1
14,14,0.3,0.3,1.46,0.95,E2,1
15,15,0.3,0.3,0.95,0.44,E3,1
16,16,0.3,0.3,0.95,1.46,E4,1
17,17,0.1,0.3,0.95,0.95,E5,1
18,18,0.71,0.3,0.95,0.95,E6,1
19,19,0.3,0.1,0.95,0.95,E7,1
