Time,TempC,C3,C5,C7,E3,E5,E7,G3,G5,G7,I3,I5,I7
0.03,28.7,48,62,43,45,57,51,48,45,43,10,14,12
2.03,29,45,54,44,51,56,38,50,56,40,18,25,8
4.03,29,55,54,40,50,54,49,38,48,39,11,16,12
6.03,29.1,38,49,38,48,52,47,55,47,40,12,22,6
8.03,29,48,51,39,40,55,47,41,53,30,12,21,10
10.03,29,48,53,40,43,50,53,41,55,34,16,28,0
12.03,28.9,39,52,41,46,51,49,37,45,31,9,17,9
14.03,29,45,53,29,53,62,44,43,48,35,9,15,8
16.03,29.1,51,47,34,49,54,42,46,46,34,8,17,4
18.03,29,43,50,41,46,58,45,47,56,33,13,18,5
20.03,28.9,35,51,42,47,58,47,45,49,34,17,22,10
22.03,29,36,51,43,45,49,40,38,52,36,15,18,7
24.03,29,45,54,31,52,55,44,42,45,29,16,19,8
26.03,29,42,52,40,54,51,48,39,43,30,8,14,1
28.03,28.9,39,49,34,43,50,42,40,44,28,11,21,6
30.03,29,37,50,35,45,43,41,38,36,30,11,22,9
32.03,29,40,45,35,53,53,53,43,51,33,14,14,16
34.03,29,43,56,40,51,53,47,46,44,31,13,20,6
36.03,29,44,51,35,52,61,50,41,40,28,15,20,6
38.03,28.9,48,51,35,63,52,53,36,46,32,11,14,15
40.03,29,45,53,33,48,52,49,40,49,31,8,20,1
42.03,29,39,52,32,54,55,62,50,43,26,15,18,0
44.03,29,37,49,36,53,54,56,37,42,25,21,22,9
46.03,29,38,49,29,55,55,48,30,39,23,7,18,3
48.03,29,35,51,37,55,58,57,39,38,32,13,21,3
50.03,29,39,48,35,57,70,56,39,36,24,16,25,0
52.03,29,44,50,37,57,61,59,32,35,21,11,19,10
54.03,29,42,45,37,67,66,54,33,35,13,12,15,6
56.03,29,41,42,30,67,59,60,27,34,17,13,15,2
58.03,29,42,40,36,60,55,60,30,34,13,9,20,13
60.03,29,43,50,34,62,67,59,24,42,20,16,17,3
62.03,29,39,56,33,60,58,64,22,35,19,10,18,2
64.03,29.1,42,54,36,65,71,55,25,27,24,8,23,7
66.03,29,42,45,41,66,69,63,35,39,12,10,18,4
68.03,29,40,38,34,70,62,65,25,29,16,13,22,0
70.03,29,48,48,34,67,68,67,31,34,20,13,19,12
72.03,29,48,54,38,70,73,65,29,33,10,12,22,0
74.03,29,48,57,33,79,75,74,26,33,24,14,21,8
76.03,29,44,53,47,76,77,67,24,31,16,9,15,3
78.03,29,51,45,36,70,74,77,23,34,23,14,23,6
80.03,29,34,46,39,78,92,75,24,30,16,11,19,0
82.03,29,43,48,38,81,81,82,24,32,27,18,19,7
84.03,29,45,55,37,79,81,77,28,33,11,14,22,15
86.03,29,49,52,32,90,86,78,23,27,12,9,19,6
88.03,29,50,58,37,89,87,81,28,29,11,10,22,7
90.03,29,52,53,45,93,90,86,19,28,8,12,17,6
92.03,29,54,56,41,91,90,83,30,29,20,23,14,2
94.03,28.9,48,56,43,91,88,89,23,23,12,10,13,8
96.03,29.1,45,56,42,94,90,92,20,23,11,17,16,15
98.03,28.9,68,58,41,102,93,90,19,28,21,14,7,4
100.03,29.1,49,62,42,105,99,94,14,32,13,8,17,8
102.03,29,55,59,43,102,102,99,25,25,11,11,22,1
104.03,28.9,54,61,40,112,107,102,26,30,11,15,23,13
106.03,29.1,52,62,45,114,107,109,25,23,9,16,25,0
108.03,29,61,71,55,108,111,110,23,32,9,15,15,9
110.03,29,61,72,51,118,115,112,23,26,11,10,31,6
112.03,29,62,69,52,126,124,116,28,30,19,7,18,3
114.03,29,63,72,61,116,117,109,24,26,14,7,17,4
116.03,29,60,69,58,120,119,113,20,31,13,17,24,8
118.03,29,80,77,44,121,114,120,24,34,0,11,11,0
120.03,29,70,68,52,126,133,130,24,26,10,12,27,6
122.03,28.9,67,85,58,134,134,132,24,23,13,13,16,5
124.03,29,78,72,58,138,115,121,19,29,7,10,17,2
126.03,29,76,80,63,149,133,131,15,25,13,12,13,1
128.03,29,70,76,62,144,132,149,20,29,14,14,17,3
130.03,28.9,75,83,70,153,138,139,16,31,13,11,8,4
132.03,29,71,84,72,151,143,143,22,32,18,12,21,2
134.03,28.9,75,84,72,147,150,153,24,27,10,15,13,7
136.03,28.9,77,97,72,160,143,159,24,28,16,9,17,6
138.03,29,82,99,79,166,155,166,23,24,15,19,21,6
140.03,29,78,94,80,173,150,167,23,28,19,12,21,5
142.03,29,81,98,79,171,155,170,30,23,12,4,23,4
144.03,29,91,105,86,191,162,176,13,29,12,15,19,0
146.03,29,93,99,85,174,163,177,27,28,21,2,17,11
148.03,29,99,107,90,188,175,184,34,29,18,14,19,8
150.03,29,100,110,93,196,172,186,22,21,14,7,15,8
152.03,28.9,104,109,91,205,178,196,26,36,25,10,18,1
154.03,28.9,104,112,97,190,188,200,28,27,20,14,26,8
156.03,29,98,120,101,205,201,217,23,24,12,7,20,9
158.03,28.9,102,120,100,205,193,200,26,33,26,10,15,9
160.03,29,111,123,107,212,197,217,27,30,17,13,22,5
162.03,29,112,127,103,225,213,228,24,38,17,8,17,10
164.03,29,117,124,113,219,207,231,25,33,22,17,15,8
166.03,28.9,123,141,111,222,214,234,24,34,17,14,19,4
168.03,29,136,132,119,248,222,232,28,23,14,15,14,2
170.03,29,131,143,117,262,230,242,33,29,14,11,25,7
172.03,29,129,144,131,252,231,250,29,33,17,17,20,10
174.03,28.9,138,149,128,265,238,271,31,32,17,14,16,3
176.03,29,133,150,131,263,247,279,32,39,20,12,24,6
178.03,28.9,142,152,136,281,253,273,31,29,24,8,22,0
180.03,29,144,175,138,277,251,274,41,39,18,13,13,5
182.03,29,143,167,142,291,267,289,31,23,18,17,22,7
184.03,29,152,167,152,299,260,295,30,43,23,10,24,0
186.03,29,150,172,146,303,268,299,32,49,25,11,15,11
188.03,29,150,193,149,300,271,304,36,38,27,13,21,5
190.03,29,162,184,155,333,293,316,40,39,22,15,28,7
192.03,29,174,186,174,329,284,330,37,42,25,17,19,4
194.03,29,169,196,173,331,306,331,34,41,25,14,18,8
196.03,29,166,194,167,344,308,351,34,42,21,9,13,0
198.03,28.9,176,212,169,357,316,351,34,50,21,11,12,3
200.03,29,179,200,176,359,321,360,36,49,24,11,16,2
202.03,29,192,208,189,374,338,377,38,42,23,10,18,7
204.03,29,195,214,193,373,335,385,39,46,32,11,18,2
206.03,29,209,238,202,390,355,389,31,41,33,9,18,7
208.03,29,209,233,201,397,361,402,41,44,28,11,17,5
210.03,29,202,228,206,418,363,406,46,50,35,21,13,5
212.03,29,215,242,205,417,369,411,45,50,24,17,15,3
214.03,29,223,244,218,427,373,431,42,49,33,7,13,8
216.03,29,227,251,223,438,384,436,49,46,28,10,15,1
218.03,29,230,268,228,444,394,440,43,50,31,10,16,1
220.03,29,239,259,234,447,408,462,47,47,33,9,21,3
222.03,29,243,261,237,460,402,471,49,49,30,17,16,0
224.03,29,247,281,236,463,427,482,47,58,47,10,21,4
226.03,29,242,278,255,468,414,495,43,54,37,13,26,17
228.03,29,253,291,247,495,442,498,50,53,38,11,17,9
230.03,29,264,303,269,500,445,505,53,51,40,14,19,7
232.03,29,268,312,273,513,459,528,54,65,43,13,12,0
234.03,29,278,318,284,527,467,524,42,51,43,16,20,1
