"","run.order","std.order","x1","x2","x3","x4"
"1",1,10,1,-1,-1,1
"2",2,5,0,0,-2.10818510677892,0
"3",3,15,-1,1,1,1
"4",4,9,-1,-1,-1,1
"5",5,18,0,0,0,0
"6",6,3,0,-2.10818510677892,0,0
"7",7,6,0,0,2.10818510677892,0
"8",8,14,1,-1,1,1
"9",9,17,0,0,0,0
"10",10,9,0,0,0,0
"11",11,2,1,-1,-1,-1
"12",12,8,1,1,1,-1
"13",13,13,-1,-1,1,1
"14",14,7,-1,1,1,-1
"15",15,6,1,-1,1,-1
"16",16,10,0,0,0,0
"17",17,8,0,0,0,2.10818510677892
"18",18,16,1,1,1,1
"19",19,12,1,1,-1,1
"20",20,2,2.10818510677892,0,0,0
"21",21,1,-2.10818510677892,0,0,0
"22",22,1,-1,-1,-1,-1
"23",23,3,-1,1,-1,-1
"24",24,7,0,0,0,-2.10818510677892
"25",25,11,-1,1,-1,1
"26",26,4,0,2.10818510677892,0,0
"27",27,5,-1,-1,1,-1
"28",28,4,1,1,-1,-1
