MG_Glut,K_Glut,DTT,Well,Plate,AqueousMasterMixTube,ComponentsMasterMixTube
4.0,80.0,0.7,B2,1,A1,B1
4.0,80.0,0.7,B4,1,A1,B1
4.0,80.0,0.7,B6,1,A1,B1
4.0,80.0,0.7,B8,1,A1,B1
4.0,80.0,0.7,B10,1,A1,B1
9.0,80.0,0.7,B12,1,A2,B1
9.0,80.0,0.7,B14,1,A2,B1
9.0,80.0,0.7,B16,1,A2,B1
9.0,80.0,0.7,B18,1,A2,B1
9.0,80.0,0.7,B20,1,A2,B1
4.0,130.0,0.7,B22,1,A3,B1
4.0,130.0,0.7,D2,1,A3,B1
4.0,130.0,0.7,D4,1,A3,B2
4.0,130.0,0.7,D6,1,A3,B2
4.0,130.0,0.7,D8,1,A3,B2
9.0,130.0,0.7,D10,1,A4,B2
9.0,130.0,0.7,D12,1,A4,B2
9.0,130.0,0.7,D14,1,A4,B2
9.0,130.0,0.7,D16,1,A4,B2
9.0,130.0,0.7,D18,1,A4,B2
4.0,80.0,1.2,D20,1,A5,B2
4.0,80.0,1.2,D22,1,A5,B2
4.0,80.0,1.2,F2,1,A5,B2
4.0,80.0,1.2,F4,1,A5,B2
4.0,80.0,1.2,F6,1,A5,B3
9.0,80.0,1.2,F8,1,A6,B3
9.0,80.0,1.2,F10,1,A6,B3
9.0,80.0,1.2,F12,1,A6,B3
9.0,80.0,1.2,F14,1,A6,B3
9.0,80.0,1.2,F16,1,A6,B3
4.0,130.0,1.2,F18,1,A7,B3
4.0,130.0,1.2,F20,1,A7,B3
4.0,130.0,1.2,F22,1,A7,B3
4.0,130.0,1.2,H2,1,A7,B3
4.0,130.0,1.2,H4,1,A7,B3
9.0,130.0,1.2,H6,1,A8,B3
9.0,130.0,1.2,H8,1,A8,B4
9.0,130.0,1.2,H10,1,A8,B4
9.0,130.0,1.2,H12,1,A8,B4
9.0,130.0,1.2,H14,1,A8,B4
6.5,105.0,0.95,H16,1,A9,B4
6.5,105.0,0.95,H18,1,A9,B4
6.5,105.0,0.95,H20,1,A9,B4
6.5,105.0,0.95,H22,1,A9,B4
6.5,105.0,0.95,J2,1,A9,B4
6.5,105.0,0.95,B2,2,A1,B1
6.5,105.0,0.95,B4,2,A1,B1
6.5,105.0,0.95,B6,2,A1,B1
6.5,105.0,0.95,B8,2,A1,B1
6.5,105.0,0.95,B10,2,A1,B1
2.03,105.0,0.95,B12,2,A3,B1
2.03,105.0,0.95,B14,2,A3,B1
2.03,105.0,0.95,B16,2,A3,B1
2.03,105.0,0.95,B18,2,A3,B1
2.03,105.0,0.95,B20,2,A3,B1
10.97,105.0,0.95,B22,2,A4,B1
10.97,105.0,0.95,D2,2,A4,B1
10.97,105.0,0.95,D4,2,A4,B2
10.97,105.0,0.95,D6,2,A4,B2
10.97,105.0,0.95,D8,2,A4,B2
6.5,60.28,0.95,D10,2,A5,B2
6.5,60.28,0.95,D12,2,A5,B2
6.5,60.28,0.95,D14,2,A5,B2
6.5,60.28,0.95,D16,2,A5,B2
6.5,60.28,0.95,D18,2,A5,B2
6.5,149.72,0.95,D20,2,A6,B2
6.5,149.72,0.95,D22,2,A6,B2
6.5,149.72,0.95,F2,2,A6,B2
6.5,149.72,0.95,F4,2,A6,B2
6.5,149.72,0.95,F6,2,A6,B3
6.5,105.0,0.5,F8,2,A7,B3
6.5,105.0,0.5,F10,2,A7,B3
6.5,105.0,0.5,F12,2,A7,B3
6.5,105.0,0.5,F14,2,A7,B3
6.5,105.0,0.5,F16,2,A7,B3
6.5,105.0,1.4,F18,2,A8,B3
6.5,105.0,1.4,F20,2,A8,B3
6.5,105.0,1.4,F22,2,A8,B3
6.5,105.0,1.4,H2,2,A8,B3
6.5,105.0,1.4,H4,2,A8,B3
6.5,105.0,0.95,H6,2,A1,B3
6.5,105.0,0.95,H8,2,A1,B4
6.5,105.0,0.95,H10,2,A1,B4
6.5,105.0,0.95,H12,2,A1,B4
6.5,105.0,0.95,H14,2,A1,B4
6.5,105.0,0.95,H16,2,A1,B4
6.5,105.0,0.95,H18,2,A1,B4
6.5,105.0,0.95,H20,2,A2,B4
6.5,105.0,0.95,H22,2,A2,B4
6.5,105.0,0.95,J2,2,A2,B4
