"","run.order","std.order","MG_Glut","K_Glut","DTT","T7_RNAP"
"1",1,10,10,80,0.7,0.1
"2",2,5,6.5,105,0.42,0.06
"3",3,15,3,130,1.2,0.1
"4",4,9,3,80,0.7,0.1
"5",5,18,6.5,105,0.95,0.06
"6",6,3,6.5,52.3,0.95,0.06
"7",7,6,6.5,105,1.48,0.06
"8",8,14,10,80,1.2,0.1
"9",9,17,6.5,105,0.95,0.06
"10",10,9,6.5,105,0.95,0.06
"11",11,2,10,80,0.7,0.01
"12",12,8,10,130,1.2,0.01
"13",13,13,3,80,1.2,0.1
"14",14,7,3,130,1.2,0.01
"15",15,6,10,80,1.2,0.01
"16",16,10,6.5,105,0.95,0.06
"17",17,8,6.5,105,0.95,0.15
"18",18,16,10,130,1.2,0.1
"19",19,12,10,130,0.7,0.1
"20",20,2,13.88,105,0.95,0.06
"21",21,1,3,105,0.95,0.06
"22",22,1,3,80,0.7,0.01
"23",23,3,3,130,0.7,0.01
"24",24,7,6.5,105,0.95,0.01
"25",25,11,3,130,0.7,0.1
"26",26,4,6.5,157.7,0.95,0.06
"27",27,5,3,80,1.2,0.01
"28",28,4,10,130,0.7,0.01
