Original_Order,MG_Glut,K_Glut,DTT,T7_RNAP,Well,Plate,AqueousMasterMixTube,ComponentsMasterMixTube
103,12.0,520.0,4.8,0.04,B2,1,A1,B1
125,12.0,320.0,2.8,0.4,B4,1,A4,B10
122,26.0,630.8,3.8,0.24,B6,1,A7,D4
45,40.0,520.0,4.8,0.04,B8,1,A9,B1
31,40.0,520.0,4.8,0.4,B10,1,A9,B10
119,12.0,320.0,4.8,0.4,B12,1,A11,B10
74,40.0,320.0,4.8,0.4,B14,1,A14,B10
35,26.0,420.0,3.8,0.24,B16,1,A16,D4
4,26.0,209.2,3.8,0.24,B18,1,C7,D4
128,12.0,320.0,2.8,0.4,B20,1,A4,B10
63,26.0,420.0,1.68,0.24,B22,1,C8,D4
107,40.0,320.0,2.8,0.04,D2,1,C10,B1
0,26.0,209.2,3.8,0.24,D4,1,C7,D4
108,40.0,320.0,2.8,0.04,D6,1,C10,B1
118,12.0,320.0,4.8,0.4,D8,1,A11,B10
133,26.0,420.0,3.8,0.24,D10,1,A16,D4
33,40.0,520.0,4.8,0.4,D12,1,A9,B10
24,12.0,520.0,2.8,0.4,D14,1,C13,B10
124,26.0,630.8,3.8,0.24,D16,1,A7,D4
38,26.0,420.0,3.8,0.24,D18,1,A16,D4
8,12.0,420.0,3.8,0.24,D20,1,C16,D4
5,12.0,420.0,3.8,0.24,D22,1,C16,D4
16,55.52,420.0,3.8,0.24,F2,1,E2,D4
13,40.0,520.0,2.8,0.04,F4,1,E3,B1
82,12.0,520.0,4.8,0.4,F6,1,A1,B10
105,40.0,320.0,2.8,0.04,F8,1,C10,B1
28,40.0,520.0,2.8,0.4,F10,1,E3,B10
20,12.0,520.0,2.8,0.4,F12,1,C13,B10
42,26.0,420.0,3.8,0.24,F14,1,A16,D4
86,40.0,320.0,2.8,0.4,F16,1,C10,B10
37,26.0,420.0,3.8,0.24,F18,1,A16,D5
29,40.0,520.0,2.8,0.4,F20,1,E3,B11
62,26.0,420.0,1.68,0.24,F22,1,C8,D5
91,26.0,420.0,3.8,0.6,H2,1,A16,D14
90,26.0,420.0,3.8,0.6,H4,1,A16,D14
93,26.0,420.0,3.8,0.6,H6,1,A16,D14
19,55.52,420.0,3.8,0.24,H8,1,E2,D5
89,40.0,320.0,2.8,0.4,H10,1,C10,B11
23,12.0,520.0,2.8,0.4,H12,1,C13,B11
9,12.0,420.0,3.8,0.24,H14,1,C16,D5
102,12.0,520.0,4.8,0.04,H16,1,A1,B1
116,12.0,320.0,4.8,0.4,H18,1,A11,B11
59,40.0,320.0,4.8,0.04,H20,1,A14,B1
112,26.0,420.0,3.8,0.24,H22,1,A16,D5
60,26.0,420.0,1.68,0.24,J2,1,C8,D5
88,40.0,320.0,2.8,0.4,J4,1,C10,B11
131,26.0,420.0,3.8,0.24,J6,1,A16,D5
