"","run.order","std.order","x1","x2","x3","x4"
"1",1,14,1,-1,1,1
"2",2,7,0,0,0,-2.10818510677892
"3",3,4,0,2.10818510677892,0,0
"4",4,11,-1,1,-1,1
"5",5,7,-1,1,1,-1
"6",6,1,-1,-1,-1,-1
"7",7,8,1,1,1,-1
"8",8,2,2.10818510677892,0,0,0
"9",9,6,0,0,2.10818510677892,0
"10",10,3,-1,1,-1,-1
"11",11,5,0,0,-2.10818510677892,0
"12",12,3,0,-2.10818510677892,0,0
"13",13,1,-2.10818510677892,0,0,0
"14",14,10,0,0,0,0
"15",15,12,1,1,-1,1
"16",16,17,0,0,0,0
"17",17,2,1,-1,-1,-1
"18",18,9,0,0,0,0
"19",19,10,1,-1,-1,1
"20",20,8,0,0,0,2.10818510677892
"21",21,5,-1,-1,1,-1
"22",22,13,-1,-1,1,1
"23",23,6,1,-1,1,-1
"24",24,16,1,1,1,1
"25",25,4,1,1,-1,-1
"26",26,9,-1,-1,-1,1
"27",27,15,-1,1,1,1
"28",28,18,0,0,0,0
