"","run.order","std.order","MG_Glut","K_Glut","DTT","T7_RNAP"
"1",1,11,3,130,0.7,0.1
"2",2,7,3,130,1.2,0.01
"3",3,9,6.5,105,0.95,0.06
"4",4,10,10,80,0.7,0.1
"5",5,9,3,80,0.7,0.1
"6",6,5,6.5,105,0.42,0.06
"7",7,13,3,80,1.2,0.1
"8",8,14,10,80,1.2,0.1
"9",9,1,3,80,0.7,0.01
"10",10,8,6.5,105,0.95,0.15
"11",11,3,3,130,0.7,0.01
"12",12,12,10,130,0.7,0.1
"13",13,10,6.5,105,0.95,0.06
"14",14,17,6.5,105,0.95,0.06
"15",15,4,6.5,157.7,0.95,0.06
"16",16,1,3,105,0.95,0.06
"17",17,3,6.5,52.3,0.95,0.06
"18",18,15,3,130,1.2,0.1
"19",19,5,3,80,1.2,0.01
"20",20,6,10,80,1.2,0.01
"21",21,6,6.5,105,1.48,0.06
"22",22,4,10,130,0.7,0.01
"23",23,7,6.5,105,0.95,0.01
"24",24,18,6.5,105,0.95,0.06
"25",25,2,13.88,105,0.95,0.06
"26",26,16,10,130,1.2,0.1
"27",27,2,10,80,0.7,0.01
"28",28,8,10,130,1.2,0.01
