MG_Glut,K_Glut,DTT,Experiments,Tubes
12.0,520.0,4.8,6,"['A1', 'A2', 'A3']"
12.0,320.0,2.8,6,"['A4', 'A5', 'A6']"
26.0,630.8,3.8,4,"['A7', 'A8']"
40.0,520.0,4.8,3,"['A9', 'A10']"
12.0,320.0,4.8,5,"['A11', 'A12', 'A13']"
40.0,320.0,4.8,4,"['A14', 'A15']"
26.0,420.0,3.8,16,"['A16', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6']"
26.0,209.2,3.8,2,['C7']
26.0,420.0,1.68,3,"['C8', 'C9']"
40.0,320.0,2.8,6,"['C10', 'C11', 'C12']"
12.0,520.0,2.8,5,"['C13', 'C14', 'C15']"
12.0,420.0,3.8,3,"['C16', 'E1']"
55.52,420.0,3.8,2,['E2']
40.0,520.0,2.8,5,"['E3', 'E4', 'E5']"
