MG_Glut,K_Glut,DTT,Experiments,Tubes
3.0,130.0,1.2,6,"['A1', 'A2', 'A3']"
3.0,80.0,0.7,6,"['A4', 'A5', 'A6']"
6.5,157.7,0.95,4,"['A7', 'A8']"
10.0,130.0,1.2,3,"['A9', 'A10']"
3.0,80.0,1.2,5,"['A11', 'A12', 'A13']"
10.0,80.0,1.2,4,"['A14', 'A15']"
6.5,105.0,0.95,16,"['A16', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6']"
6.5,52.3,0.95,2,['C7']
6.5,105.0,0.42,3,"['C8', 'C9']"
10.0,80.0,0.7,6,"['C10', 'C11', 'C12']"
3.0,130.0,0.7,5,"['C13', 'C14', 'C15']"
3.0,105.0,0.95,3,"['C16', 'E1']"
13.88,105.0,0.95,2,['E2']
10.0,130.0,0.7,5,"['E3', 'E4', 'E5']"
