MG_Glut,K_Glut,DTT,Experiments,Total_Wells,Tubes
12.0,520.0,4.8,4,20,"['A1', 'A2']"
12.0,320.0,2.8,3,15,"['A3', 'A4']"
12.0,520.0,2.8,5,25,"['A5', 'A6', 'A7']"
26.0,630.8,3.8,3,15,"['A8', 'A9']"
26.0,420.0,3.8,16,80,"['A10', 'A11', 'A12', 'C1', 'C2', 'C3', 'C4']"
26.0,420.0,1.68,3,15,"['C5', 'C6']"
26.0,420.0,5.92,1,5,['C7']
12.0,320.0,4.8,5,25,"['C8', 'C9', 'C10']"
40.0,320.0,2.8,6,30,"['C11', 'C12', 'E1']"
12.0,420.0,3.8,4,20,"['E2', 'E3']"
40.0,520.0,2.8,5,25,"['E4', 'E5', 'E6']"
40.0,320.0,4.8,7,35,"['E7', 'E8', 'E9']"
40.0,520.0,4.8,4,20,"['E10', 'E11']"
26.0,209.2,3.8,3,15,"['E12', 'G1']"
55.52,420.0,3.8,1,5,['G2']
