"","run.order","std.order","MG_Glut","K_Glut","DTT","T7_RNAP"
"1",1,1,3,80,0.7,0.01
"2",2,2,10,80,0.7,0.01
"3",3,3,3,130,0.7,0.01
"4",4,4,10,130,0.7,0.01
"5",5,5,3,80,1.2,0.01
"6",6,6,10,80,1.2,0.01
"7",7,7,3,130,1.2,0.01
"8",8,8,10,130,1.2,0.01
"9",9,9,3,80,0.7,0.1
"10",10,10,10,80,0.7,0.1
"11",11,11,3,130,0.7,0.1
"12",12,12,10,130,0.7,0.1
"13",13,13,3,80,1.2,0.1
"14",14,14,10,80,1.2,0.1
"15",15,15,3,130,1.2,0.1
"16",16,16,10,130,1.2,0.1
"17",17,17,6.5,105,0.95,0.06
"18",18,18,6.5,105,0.95,0.06
"19",1,1,3,105,0.95,0.06
"20",2,2,13.88,105,0.95,0.06
"21",3,3,6.5,52.3,0.95,0.06
"22",4,4,6.5,157.7,0.95,0.06
"23",5,5,6.5,105,0.42,0.06
"24",6,6,6.5,105,1.48,0.06
"25",7,7,6.5,105,0.95,0.01
"26",8,8,6.5,105,0.95,0.15
"27",9,9,6.5,105,0.95,0.06
"28",10,10,6.5,105,0.95,0.06
