,MG_Glut,K_Glut,DTT,Well,Plate
0,4.0,80.0,1.2,B2,1
1,4.0,80.0,1.2,B4,1
2,4.0,80.0,1.2,B6,1
3,4.0,130.0,0.7,B8,1
4,4.0,130.0,0.7,B10,1
5,4.0,130.0,0.7,B12,1
6,10.97,105.0,0.95,B14,1
7,10.97,105.0,0.95,B16,1
8,10.97,105.0,0.95,B18,1
9,6.5,105.0,0.95,B20,1
10,6.5,105.0,0.95,B22,1
11,6.5,105.0,0.95,D2,1
12,6.5,60.28,0.95,D4,1
13,6.5,60.28,0.95,D6,1
14,6.5,60.28,0.95,D8,1
15,6.5,105.0,0.95,D10,1
16,6.5,105.0,0.95,D12,1
17,6.5,105.0,0.95,D14,1
18,4.0,130.0,1.2,D16,1
19,4.0,130.0,1.2,D18,1
20,4.0,130.0,1.2,D20,1
21,9.0,130.0,1.2,D22,1
22,9.0,130.0,1.2,F2,1
23,9.0,130.0,1.2,F4,1
24,2.03,105.0,0.95,F6,1
25,2.03,105.0,0.95,F8,1
26,2.03,105.0,0.95,F10,1
27,9.0,80.0,1.2,F12,1
28,9.0,80.0,1.2,F14,1
29,9.0,80.0,1.2,F16,1
30,6.5,105.0,0.95,F18,1
31,6.5,105.0,0.95,F20,1
32,6.5,105.0,0.95,F22,1
33,9.0,130.0,0.7,H2,1
34,9.0,130.0,0.7,H4,1
35,9.0,130.0,0.7,H6,1
36,6.5,149.72,0.95,H8,1
37,6.5,149.72,0.95,H10,1
38,6.5,149.72,0.95,H12,1
39,6.5,105.0,0.95,H14,1
40,6.5,105.0,0.95,H16,1
41,6.5,105.0,0.95,H18,1
42,4.0,80.0,0.7,H20,1
43,4.0,80.0,0.7,H22,1
44,4.0,80.0,0.7,J2,1
45,6.5,105.0,1.4,J4,1
46,6.5,105.0,1.4,J6,1
47,6.5,105.0,1.4,J8,1
48,6.5,105.0,0.5,J10,1
49,6.5,105.0,0.5,J12,1
50,6.5,105.0,0.5,J14,1
51,9.0,80.0,0.7,J16,1
52,9.0,80.0,0.7,J18,1
53,9.0,80.0,0.7,J20,1
