Run,K,Mg,PEG,Yield,Yield,Yield,Mean Yield
1,80,4,3,0.871892216,0.798473305,0.999938649,0.89010139
2,200,20,3,0,0.0000420647, ,0.00002103235
3,200,4,5,1.43409391,1.63363123,2.327985846,1.79857032866667
4,80,20,5,0.006954978,0.007026959,0.020763997,0.011581978
5,140,12,4,0.011726284,0.011886841,0.014301946,0.012638357
6,140,12,4,0.123922277,0.111035395,0.012975873,0.082644515
7,200,4,3,2.310409711,2.570589165,2.262767681,2.381255519
8,80,20,3,0.00668146,0.00269132,0.00000341569,0.00312539856333333
9,80,4,5,0.204253529,0.190028,0.570662301,0.321647943333333
10,200,20,5,0.007485601,0.0000078604,0.006481986,0.00465848246666667
11,140,12,4,0.043781666,0.00000559697,0.017330072,0.02037244499
12,140,12,4,0.054601038,0.071765513,0.092890119,0.0730855566666667
13,65,12,4,0.066543937,0.00000595024,0.00000664858,0.02218551194
14,215,12,4,0.085749049,0.204061623,0.280042855,0.189951175666667
15,140,2,4,2.742746447,1.525160236,1.899985418,2.05596403366667
16,140,22,4,0.012018584,0.0000131965,0.008244606,0.0067587955
17,140,12,2.75,0.228615841,0.327807136,0.522375802,0.359599593
18,140,12,5.25,0.002808454,0.000032863,0.00000616385,0.000949160283333333
19,140,12,4,0.00000191098,0.004775446,0.004419814,0.00306572366
20,140,12,4,0.051946015,0.023383159,0.061909052,0.0457460753333333
