"","run.order","std.order","x1","x2","x3","x4"
"1",1,4,1,1,-1,-1
"2",2,5,0,0,-1.25,0
"3",3,5,-1,-1,1,-1
"4",4,2,1,-1,-1,-1
"5",5,1,-1.25,0,0,0
"6",6,7,-1,1,1,-1
"7",7,18,0,0,0,0
"8",8,8,1,1,1,-1
"9",9,14,1,-1,1,1
"10",10,3,0,-1.25,0,0
"11",11,2,1.25,0,0,0
"12",12,15,-1,1,1,1
"13",13,17,0,0,0,0
"14",14,10,1,-1,-1,1
"15",15,10,0,0,0,0
"16",16,9,0,0,0,0
"17",17,11,-1,1,-1,1
"18",18,6,1,-1,1,-1
"19",19,1,-1,-1,-1,-1
"20",20,3,-1,1,-1,-1
"21",21,13,-1,-1,1,1
"22",22,12,1,1,-1,1
"23",23,6,0,0,1.25,0
"24",24,8,0,0,0,1.25
"25",25,9,-1,-1,-1,1
"26",26,16,1,1,1,1
"27",27,4,0,1.25,0,0
"28",28,7,0,0,0,-1.25
