MG_Acetate,K_Glut,TCEP,Well,Plate,AqueousMasterMixTube,ComponentsMasterMixTube
4.0,80.0,0.5,B2,1,A1,B1
15.0,80.0,0.5,B4,1,A2,B1
4.0,150.0,0.5,B6,1,A3,B1
15.0,150.0,0.5,B8,1,A4,B1
4.0,80.0,2.0,B10,1,A5,B1
15.0,80.0,2.0,B12,1,A6,B1
4.0,150.0,2.0,B14,1,A7,B1
15.0,150.0,2.0,B16,1,A8,B1
9.5,115.0,1.25,B18,1,A9,B1
9.5,115.0,1.25,B20,1,A9,B1
2.63,115.0,1.25,B22,1,A10,B1
16.38,115.0,1.25,D2,1,A11,B1
9.5,71.25,1.25,D4,1,A12,B2
9.5,158.75,1.25,D6,1,C1,B2
9.5,115.0,0.31,D8,1,C2,B2
9.5,115.0,2.19,D10,1,C3,B2
9.5,115.0,1.25,D12,1,A9,B2
9.5,115.0,1.25,D14,1,A9,B2
