,MG_Glut,K_Glut,TCEP,tRNA,Well,Plate
0,12.0,130.0,0.5,2.0,B2,1
1,8.0,105.0,0.37,3.0,B4,1
2,4.0,80.0,1.5,2.0,B6,1
3,12.0,80.0,0.5,2.0,B8,1
4,3.0,105.0,1.0,3.0,B10,1
5,4.0,130.0,1.5,2.0,B12,1
6,8.0,105.0,1.0,3.0,B14,1
7,12.0,130.0,1.5,2.0,B16,1
8,12.0,80.0,1.5,4.0,B18,1
9,8.0,73.75,1.0,3.0,B20,1
10,13.0,105.0,1.0,3.0,B22,1
11,4.0,130.0,1.5,4.0,D2,1
12,8.0,105.0,1.0,3.0,D4,1
13,12.0,80.0,0.5,4.0,D6,1
14,8.0,105.0,1.0,3.0,D8,1
15,8.0,105.0,1.0,3.0,D10,1
16,4.0,130.0,0.5,4.0,D12,1
17,12.0,80.0,1.5,2.0,D14,1
18,4.0,80.0,0.5,2.0,D16,1
19,4.0,130.0,0.5,2.0,D18,1
20,4.0,80.0,1.5,4.0,D20,1
21,12.0,130.0,0.5,4.0,D22,1
22,8.0,105.0,1.62,3.0,F2,1
23,8.0,105.0,1.0,4.25,F4,1
24,4.0,80.0,0.5,4.0,F6,1
25,12.0,130.0,1.5,4.0,F8,1
26,8.0,136.25,1.0,3.0,F10,1
27,8.0,105.0,1.0,1.75,F12,1
