"","run.order","std.order","x1","x2","x3","x4","x5","x6"
"1",1,1,-1,-1,-1,-1,-1,-1
"1.1",2,2,-1,-1,-1,-1,-1,-1
"1.2",3,3,-1,-1,-1,-1,-1,-1
"1.3",4,4,-1,-1,-1,-1,-1,-1
"1.4",5,5,-1,-1,-1,-1,-1,-1
"1.5",6,6,-1,-1,-1,-1,-1,-1
"2",7,7,1,-1,-1,-1,-1,-1
"2.1",8,8,1,-1,-1,-1,-1,-1
"2.2",9,9,1,-1,-1,-1,-1,-1
"2.3",10,10,1,-1,-1,-1,-1,-1
"2.4",11,11,1,-1,-1,-1,-1,-1
"2.5",12,12,1,-1,-1,-1,-1,-1
"3",13,13,-1,1,-1,-1,-1,-1
"3.1",14,14,-1,1,-1,-1,-1,-1
"3.2",15,15,-1,1,-1,-1,-1,-1
"3.3",16,16,-1,1,-1,-1,-1,-1
"3.4",17,17,-1,1,-1,-1,-1,-1
"3.5",18,18,-1,1,-1,-1,-1,-1
"4",19,19,1,1,-1,-1,-1,-1
"4.1",20,20,1,1,-1,-1,-1,-1
"4.2",21,21,1,1,-1,-1,-1,-1
"4.3",22,22,1,1,-1,-1,-1,-1
"4.4",23,23,1,1,-1,-1,-1,-1
"4.5",24,24,1,1,-1,-1,-1,-1
"5",25,25,-1,-1,1,-1,-1,-1
"5.1",26,26,-1,-1,1,-1,-1,-1
"5.2",27,27,-1,-1,1,-1,-1,-1
"5.3",28,28,-1,-1,1,-1,-1,-1
"5.4",29,29,-1,-1,1,-1,-1,-1
"5.5",30,30,-1,-1,1,-1,-1,-1
"6",31,31,1,-1,1,-1,-1,-1
"6.1",32,32,1,-1,1,-1,-1,-1
"6.2",33,33,1,-1,1,-1,-1,-1
"6.3",34,34,1,-1,1,-1,-1,-1
"6.4",35,35,1,-1,1,-1,-1,-1
"6.5",36,36,1,-1,1,-1,-1,-1
"7",37,37,-1,1,1,-1,-1,-1
"7.1",38,38,-1,1,1,-1,-1,-1
"7.2",39,39,-1,1,1,-1,-1,-1
"7.3",40,40,-1,1,1,-1,-1,-1
"7.4",41,41,-1,1,1,-1,-1,-1
"7.5",42,42,-1,1,1,-1,-1,-1
"8",43,43,1,1,1,-1,-1,-1
"8.1",44,44,1,1,1,-1,-1,-1
"8.2",45,45,1,1,1,-1,-1,-1
"8.3",46,46,1,1,1,-1,-1,-1
"8.4",47,47,1,1,1,-1,-1,-1
"8.5",48,48,1,1,1,-1,-1,-1
"9",49,49,-1,-1,-1,1,-1,-1
"9.1",50,50,-1,-1,-1,1,-1,-1
"9.2",51,51,-1,-1,-1,1,-1,-1
"9.3",52,52,-1,-1,-1,1,-1,-1
"9.4",53,53,-1,-1,-1,1,-1,-1
"9.5",54,54,-1,-1,-1,1,-1,-1
"10",55,55,1,-1,-1,1,-1,-1
"10.1",56,56,1,-1,-1,1,-1,-1
"10.2",57,57,1,-1,-1,1,-1,-1
"10.3",58,58,1,-1,-1,1,-1,-1
"10.4",59,59,1,-1,-1,1,-1,-1
"10.5",60,60,1,-1,-1,1,-1,-1
"11",61,61,-1,1,-1,1,-1,-1
"11.1",62,62,-1,1,-1,1,-1,-1
"11.2",63,63,-1,1,-1,1,-1,-1
"11.3",64,64,-1,1,-1,1,-1,-1
"11.4",65,65,-1,1,-1,1,-1,-1
"11.5",66,66,-1,1,-1,1,-1,-1
"12",67,67,1,1,-1,1,-1,-1
"12.1",68,68,1,1,-1,1,-1,-1
"12.2",69,69,1,1,-1,1,-1,-1
"12.3",70,70,1,1,-1,1,-1,-1
"12.4",71,71,1,1,-1,1,-1,-1
"12.5",72,72,1,1,-1,1,-1,-1
"13",73,73,-1,-1,1,1,-1,-1
"13.1",74,74,-1,-1,1,1,-1,-1
"13.2",75,75,-1,-1,1,1,-1,-1
"13.3",76,76,-1,-1,1,1,-1,-1
"13.4",77,77,-1,-1,1,1,-1,-1
"13.5",78,78,-1,-1,1,1,-1,-1
"14",79,79,1,-1,1,1,-1,-1
"14.1",80,80,1,-1,1,1,-1,-1
"14.2",81,81,1,-1,1,1,-1,-1
"14.3",82,82,1,-1,1,1,-1,-1
"14.4",83,83,1,-1,1,1,-1,-1
"14.5",84,84,1,-1,1,1,-1,-1
"15",85,85,-1,1,1,1,-1,-1
"15.1",86,86,-1,1,1,1,-1,-1
"15.2",87,87,-1,1,1,1,-1,-1
"15.3",88,88,-1,1,1,1,-1,-1
