Original_Order,MG_Glut,K_Glut,DTT,Well,Plate,AqueousMasterMixTube,ComponentsMasterMixTube
8,4.5,150.0,2.25,B18,1,A2,B1
11,1.0,40.0,0.5,D2,1,A3,B1
27,1.0,40.0,4.0,F12,1,A5,B3
30,4.5,40.0,2.25,F18,1,A6,B3
18,8.0,40.0,0.5,D16,1,A4,B2
13,1.0,40.0,0.5,D6,1,A3,B2
24,4.5,95.0,2.25,F6,1,A1,B3
10,1.0,40.0,0.5,B22,1,A3,B1
5,4.5,150.0,2.25,B12,1,A2,B1
1,4.5,95.0,2.25,B4,1,A1,B1
6,4.5,150.0,2.25,B14,1,A2,B1
37,8.0,95.0,2.25,H10,1,A7,B4
12,1.0,40.0,0.5,D4,1,A3,B2
41,8.0,40.0,4.0,H18,1,A8,B4
35,8.0,95.0,2.25,H6,1,A7,B3
31,4.5,40.0,2.25,F20,1,A6,B3
26,1.0,40.0,4.0,F10,1,A5,B3
15,8.0,40.0,0.5,D10,1,A4,B2
21,4.5,95.0,2.25,D22,1,A1,B2
7,4.5,150.0,2.25,B16,1,A2,B1
20,4.5,95.0,2.25,D20,1,A1,B2
44,8.0,40.0,4.0,J2,1,A8,B4
3,4.5,95.0,2.25,B8,1,A1,B1
23,4.5,95.0,2.25,F4,1,A1,B2
40,8.0,40.0,4.0,H16,1,A8,B4
43,8.0,40.0,4.0,H22,1,A8,B4
16,8.0,40.0,0.5,D12,1,A4,B2
0,4.5,95.0,2.25,B2,1,A1,B1
4,4.5,95.0,2.25,B10,1,A1,B1
29,1.0,40.0,4.0,F16,1,A5,B3
14,1.0,40.0,0.5,D8,1,A3,B2
39,8.0,95.0,2.25,H14,1,A7,B4
25,1.0,40.0,4.0,F8,1,A5,B3
42,8.0,40.0,4.0,H20,1,A8,B4
36,8.0,95.0,2.25,H8,1,A7,B4
9,4.5,150.0,2.25,B20,1,A2,B1
32,4.5,40.0,2.25,F22,1,A6,B3
33,4.5,40.0,2.25,H2,1,A6,B3
22,4.5,95.0,2.25,F2,1,A1,B2
19,8.0,40.0,0.5,D18,1,A4,B2
17,8.0,40.0,0.5,D14,1,A4,B2
38,8.0,95.0,2.25,H12,1,A7,B4
34,4.5,40.0,2.25,H4,1,A6,B3
28,1.0,40.0,4.0,F14,1,A5,B3
2,4.5,95.0,2.25,B6,1,A1,B1
8,8.0,150.0,4.0,B18,2,A2,B1
11,1.0,150.0,4.0,D2,2,A3,B1
27,8.0,150.0,0.5,F12,2,A5,B3
30,4.5,95.0,4.0,F18,2,A6,B3
18,1.0,95.0,2.25,D16,2,A4,B2
13,1.0,150.0,4.0,D6,2,A3,B2
24,4.5,95.0,2.25,F6,2,A1,B3
10,1.0,150.0,4.0,B22,2,A3,B1
5,8.0,150.0,4.0,B12,2,A2,B1
1,4.5,95.0,2.25,B4,2,A1,B1
6,8.0,150.0,4.0,B14,2,A2,B1
37,1.0,150.0,0.5,H10,2,A7,B4
12,1.0,150.0,4.0,D4,2,A3,B2
41,4.5,95.0,0.5,H18,2,A8,B4
35,1.0,150.0,0.5,H6,2,A7,B3
31,4.5,95.0,4.0,F20,2,A6,B3
26,8.0,150.0,0.5,F10,2,A5,B3
15,1.0,95.0,2.25,D10,2,A4,B2
21,4.5,95.0,2.25,D22,2,A1,B2
7,8.0,150.0,4.0,B16,2,A2,B1
20,4.5,95.0,2.25,D20,2,A1,B2
44,4.5,95.0,0.5,J2,2,A8,B4
3,4.5,95.0,2.25,B8,2,A1,B1
23,4.5,95.0,2.25,F4,2,A1,B2
40,4.5,95.0,0.5,H16,2,A8,B4
43,4.5,95.0,0.5,H22,2,A8,B4
16,1.0,95.0,2.25,D12,2,A4,B2
0,4.5,95.0,2.25,B2,2,A1,B1
4,4.5,95.0,2.25,B10,2,A1,B1
29,8.0,150.0,0.5,F16,2,A5,B3
14,1.0,150.0,4.0,D8,2,A3,B2
39,1.0,150.0,0.5,H14,2,A7,B4
25,8.0,150.0,0.5,F8,2,A5,B3
42,4.5,95.0,0.5,H20,2,A8,B4
36,1.0,150.0,0.5,H8,2,A7,B4
9,8.0,150.0,4.0,B20,2,A2,B1
32,4.5,95.0,4.0,F22,2,A6,B3
33,4.5,95.0,4.0,H2,2,A6,B3
22,4.5,95.0,2.25,F2,2,A1,B2
19,1.0,95.0,2.25,D18,2,A4,B2
17,1.0,95.0,2.25,D14,2,A4,B2
38,1.0,150.0,0.5,H12,2,A7,B4
34,4.5,95.0,4.0,H4,2,A6,B3
28,8.0,150.0,0.5,F14,2,A5,B3
2,4.5,95.0,2.25,B6,2,A1,B1
