,MG_Glut,K_Glut,DTT,Well,Plate
0,4.5,95.0,2.25,B2,1
1,4.5,95.0,2.25,B4,1
2,4.5,95.0,2.25,B6,1
3,4.5,95.0,2.25,B8,1
4,4.5,95.0,2.25,B10,1
5,4.5,150.0,2.25,B12,1
6,4.5,150.0,2.25,B14,1
7,4.5,150.0,2.25,B16,1
8,4.5,150.0,2.25,B18,1
9,4.5,150.0,2.25,B20,1
10,1.0,40.0,0.5,B22,1
11,1.0,40.0,0.5,D2,1
12,1.0,40.0,0.5,D4,1
13,1.0,40.0,0.5,D6,1
14,1.0,40.0,0.5,D8,1
15,8.0,40.0,0.5,D10,1
16,8.0,40.0,0.5,D12,1
17,8.0,40.0,0.5,D14,1
18,8.0,40.0,0.5,D16,1
19,8.0,40.0,0.5,D18,1
20,4.5,95.0,2.25,D20,1
21,4.5,95.0,2.25,D22,1
22,4.5,95.0,2.25,F2,1
23,4.5,95.0,2.25,F4,1
24,4.5,95.0,2.25,F6,1
25,1.0,40.0,4.0,F8,1
26,1.0,40.0,4.0,F10,1
27,1.0,40.0,4.0,F12,1
28,1.0,40.0,4.0,F14,1
29,1.0,40.0,4.0,F16,1
30,4.5,40.0,2.25,F18,1
31,4.5,40.0,2.25,F20,1
32,4.5,40.0,2.25,F22,1
33,4.5,40.0,2.25,H2,1
34,4.5,40.0,2.25,H4,1
35,8.0,95.0,2.25,H6,1
36,8.0,95.0,2.25,H8,1
37,8.0,95.0,2.25,H10,1
38,8.0,95.0,2.25,H12,1
39,8.0,95.0,2.25,H14,1
40,8.0,40.0,4.0,H16,1
41,8.0,40.0,4.0,H18,1
42,8.0,40.0,4.0,H20,1
43,8.0,40.0,4.0,H22,1
44,8.0,40.0,4.0,J2,1
45,4.5,95.0,2.25,B2,2
46,4.5,95.0,2.25,B4,2
47,4.5,95.0,2.25,B6,2
48,4.5,95.0,2.25,B8,2
49,4.5,95.0,2.25,B10,2
50,8.0,150.0,4.0,B12,2
51,8.0,150.0,4.0,B14,2
52,8.0,150.0,4.0,B16,2
53,8.0,150.0,4.0,B18,2
54,8.0,150.0,4.0,B20,2
55,1.0,150.0,4.0,B22,2
56,1.0,150.0,4.0,D2,2
57,1.0,150.0,4.0,D4,2
58,1.0,150.0,4.0,D6,2
59,1.0,150.0,4.0,D8,2
60,1.0,95.0,2.25,D10,2
61,1.0,95.0,2.25,D12,2
62,1.0,95.0,2.25,D14,2
63,1.0,95.0,2.25,D16,2
64,1.0,95.0,2.25,D18,2
65,4.5,95.0,2.25,D20,2
66,4.5,95.0,2.25,D22,2
67,4.5,95.0,2.25,F2,2
68,4.5,95.0,2.25,F4,2
69,4.5,95.0,2.25,F6,2
70,8.0,150.0,0.5,F8,2
71,8.0,150.0,0.5,F10,2
72,8.0,150.0,0.5,F12,2
73,8.0,150.0,0.5,F14,2
74,8.0,150.0,0.5,F16,2
75,4.5,95.0,4.0,F18,2
76,4.5,95.0,4.0,F20,2
77,4.5,95.0,4.0,F22,2
78,4.5,95.0,4.0,H2,2
79,4.5,95.0,4.0,H4,2
80,1.0,150.0,0.5,H6,2
81,1.0,150.0,0.5,H8,2
82,1.0,150.0,0.5,H10,2
83,1.0,150.0,0.5,H12,2
84,1.0,150.0,0.5,H14,2
85,4.5,95.0,0.5,H16,2
86,4.5,95.0,0.5,H18,2
87,4.5,95.0,0.5,H20,2
88,4.5,95.0,0.5,H22,2
89,4.5,95.0,0.5,J2,2
