"","run.order","std.order","MG_Glut","K_Glut","DTT","PEG-8000"
"1",1,9,6.5,105,0.95,8
"2",2,3,4,130,0.7,6
"3",3,9,4,80,0.7,10
"4",4,10,9,80,0.7,10
"5",5,12,9,130,0.7,10
"6",6,11,4,130,0.7,10
"7",7,4,9,130,0.7,6
"8",8,8,9,130,1.2,6
"9",9,2,9,105,0.95,8
"10",10,6,9,80,1.2,6
"11",11,14,9,80,1.2,10
"12",12,1,4,105,0.95,8
"13",13,3,6.5,80,0.95,8
"14",14,6,6.5,105,1.2,8
"15",15,16,9,130,1.2,10
"16",16,7,6.5,105,0.95,6
"17",17,5,6.5,105,0.7,8
"18",18,5,4,80,1.2,6
"19",19,15,4,130,1.2,10
"20",20,1,4,80,0.7,6
"21",21,18,6.5,105,0.95,8
"22",22,13,4,80,1.2,10
"23",23,8,6.5,105,0.95,10
"24",24,4,6.5,130,0.95,8
"25",25,10,6.5,105,0.95,8
"26",26,2,9,80,0.7,6
"27",27,17,6.5,105,0.95,8
"28",28,7,4,130,1.2,6
