,MG_Glut,K_Glut,DTT,PEG-8000,Well,Plate
0,6.5,105.0,0.95,8.0,B2,1
1,6.5,105.0,0.95,8.0,B4,1
2,6.5,105.0,0.95,8.0,B6,1
3,6.5,105.0,0.95,8.0,B8,1
4,6.5,105.0,0.95,8.0,B10,1
5,4.0,130.0,0.7,6.0,B12,1
6,4.0,130.0,0.7,6.0,B14,1
7,4.0,130.0,0.7,6.0,B16,1
8,4.0,130.0,0.7,6.0,B18,1
9,4.0,130.0,0.7,6.0,B20,1
10,4.0,80.0,0.7,10.0,B22,1
11,4.0,80.0,0.7,10.0,D2,1
12,4.0,80.0,0.7,10.0,D4,1
13,4.0,80.0,0.7,10.0,D6,1
14,4.0,80.0,0.7,10.0,D8,1
15,9.0,80.0,0.7,10.0,D10,1
16,9.0,80.0,0.7,10.0,D12,1
17,9.0,80.0,0.7,10.0,D14,1
18,9.0,80.0,0.7,10.0,D16,1
19,9.0,80.0,0.7,10.0,D18,1
20,9.0,130.0,0.7,10.0,D20,1
21,9.0,130.0,0.7,10.0,D22,1
22,9.0,130.0,0.7,10.0,F2,1
23,9.0,130.0,0.7,10.0,F4,1
24,9.0,130.0,0.7,10.0,F6,1
25,4.0,130.0,0.7,10.0,F8,1
26,4.0,130.0,0.7,10.0,F10,1
27,4.0,130.0,0.7,10.0,F12,1
28,4.0,130.0,0.7,10.0,F14,1
29,4.0,130.0,0.7,10.0,F16,1
30,9.0,130.0,0.7,6.0,F18,1
31,9.0,130.0,0.7,6.0,F20,1
32,9.0,130.0,0.7,6.0,F22,1
33,9.0,130.0,0.7,6.0,H2,1
34,9.0,130.0,0.7,6.0,H4,1
35,9.0,130.0,1.2,6.0,H6,1
36,9.0,130.0,1.2,6.0,H8,1
37,9.0,130.0,1.2,6.0,H10,1
38,9.0,130.0,1.2,6.0,H12,1
39,9.0,130.0,1.2,6.0,H14,1
40,9.0,105.0,0.95,8.0,H16,1
41,9.0,105.0,0.95,8.0,H18,1
42,9.0,105.0,0.95,8.0,H20,1
43,9.0,105.0,0.95,8.0,H22,1
44,9.0,105.0,0.95,8.0,J2,1
45,9.0,80.0,1.2,6.0,J4,1
46,9.0,80.0,1.2,6.0,J6,1
47,9.0,80.0,1.2,6.0,J8,1
48,9.0,80.0,1.2,6.0,J10,1
49,9.0,80.0,1.2,6.0,J12,1
50,9.0,80.0,1.2,10.0,J14,1
51,9.0,80.0,1.2,10.0,J16,1
52,9.0,80.0,1.2,10.0,J18,1
53,9.0,80.0,1.2,10.0,J20,1
54,9.0,80.0,1.2,10.0,J22,1
55,4.0,105.0,0.95,8.0,L2,1
56,4.0,105.0,0.95,8.0,L4,1
57,4.0,105.0,0.95,8.0,L6,1
58,4.0,105.0,0.95,8.0,L8,1
59,4.0,105.0,0.95,8.0,L10,1
60,6.5,80.0,0.95,8.0,L12,1
61,6.5,80.0,0.95,8.0,L14,1
62,6.5,80.0,0.95,8.0,L16,1
63,6.5,80.0,0.95,8.0,L18,1
64,6.5,80.0,0.95,8.0,L20,1
65,6.5,105.0,1.2,8.0,L22,1
66,6.5,105.0,1.2,8.0,N2,1
67,6.5,105.0,1.2,8.0,N4,1
68,6.5,105.0,1.2,8.0,N6,1
69,6.5,105.0,1.2,8.0,N8,1
70,9.0,130.0,1.2,10.0,B2,2
71,9.0,130.0,1.2,10.0,B4,2
72,9.0,130.0,1.2,10.0,B6,2
73,9.0,130.0,1.2,10.0,B8,2
74,9.0,130.0,1.2,10.0,B10,2
75,6.5,105.0,0.95,6.0,B12,2
76,6.5,105.0,0.95,6.0,B14,2
77,6.5,105.0,0.95,6.0,B16,2
78,6.5,105.0,0.95,6.0,B18,2
79,6.5,105.0,0.95,6.0,B20,2
80,6.5,105.0,0.7,8.0,B22,2
81,6.5,105.0,0.7,8.0,D2,2
82,6.5,105.0,0.7,8.0,D4,2
83,6.5,105.0,0.7,8.0,D6,2
84,6.5,105.0,0.7,8.0,D8,2
85,4.0,80.0,1.2,6.0,D10,2
86,4.0,80.0,1.2,6.0,D12,2
87,4.0,80.0,1.2,6.0,D14,2
88,4.0,80.0,1.2,6.0,D16,2
89,4.0,80.0,1.2,6.0,D18,2
90,4.0,130.0,1.2,10.0,D20,2
91,4.0,130.0,1.2,10.0,D22,2
92,4.0,130.0,1.2,10.0,F2,2
93,4.0,130.0,1.2,10.0,F4,2
94,4.0,130.0,1.2,10.0,F6,2
95,4.0,80.0,0.7,6.0,F8,2
96,4.0,80.0,0.7,6.0,F10,2
97,4.0,80.0,0.7,6.0,F12,2
98,4.0,80.0,0.7,6.0,F14,2
99,4.0,80.0,0.7,6.0,F16,2
100,6.5,105.0,0.95,8.0,F18,2
101,6.5,105.0,0.95,8.0,F20,2
102,6.5,105.0,0.95,8.0,F22,2
103,6.5,105.0,0.95,8.0,H2,2
104,6.5,105.0,0.95,8.0,H4,2
105,4.0,80.0,1.2,10.0,H6,2
106,4.0,80.0,1.2,10.0,H8,2
107,4.0,80.0,1.2,10.0,H10,2
108,4.0,80.0,1.2,10.0,H12,2
109,4.0,80.0,1.2,10.0,H14,2
110,6.5,105.0,0.95,10.0,H16,2
111,6.5,105.0,0.95,10.0,H18,2
112,6.5,105.0,0.95,10.0,H20,2
113,6.5,105.0,0.95,10.0,H22,2
114,6.5,105.0,0.95,10.0,J2,2
115,6.5,130.0,0.95,8.0,J4,2
116,6.5,130.0,0.95,8.0,J6,2
117,6.5,130.0,0.95,8.0,J8,2
118,6.5,130.0,0.95,8.0,J10,2
119,6.5,130.0,0.95,8.0,J12,2
120,6.5,105.0,0.95,8.0,J14,2
121,6.5,105.0,0.95,8.0,J16,2
122,6.5,105.0,0.95,8.0,J18,2
123,6.5,105.0,0.95,8.0,J20,2
124,6.5,105.0,0.95,8.0,J22,2
125,9.0,80.0,0.7,6.0,L2,2
126,9.0,80.0,0.7,6.0,L4,2
127,9.0,80.0,0.7,6.0,L6,2
128,9.0,80.0,0.7,6.0,L8,2
129,9.0,80.0,0.7,6.0,L10,2
130,6.5,105.0,0.95,8.0,L12,2
131,6.5,105.0,0.95,8.0,L14,2
132,6.5,105.0,0.95,8.0,L16,2
133,6.5,105.0,0.95,8.0,L18,2
134,6.5,105.0,0.95,8.0,L20,2
135,4.0,130.0,1.2,6.0,L22,2
136,4.0,130.0,1.2,6.0,N2,2
137,4.0,130.0,1.2,6.0,N4,2
138,4.0,130.0,1.2,6.0,N6,2
139,4.0,130.0,1.2,6.0,N8,2
